City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
363,Takoradi,GH,78.58,scattered clouds,4.88,-1.76,Raybow International Hotel
367,Sur,OM,83.5,overcast clouds,22.57,59.53,Sur Plaza Hotel
370,Kolokani,ML,81.97,overcast clouds,13.57,-8.03,Lycee Famolo Coulibalibali De Kolokani
372,Kampot,KH,84.2,few clouds,10.62,104.18,Champa Lodge
374,Krasnoarmeysk,RU,75.99,broken clouds,51.02,45.7,Gostinitsa Komfort
377,Sibiti,CG,83.57,light rain,-3.68,13.35,Hotel Mapila 1
383,Kununurra,AU,75.2,clear sky,-15.77,128.73,Hotel Kununurra
384,Marsabit,KE,75.65,scattered clouds,2.33,37.99,Chicho Hotel
387,Riccione,IT,86.0,few clouds,44.01,12.64,Hotel Mediterraneo
388,Kaoma,ZM,84.13,scattered clouds,-14.78,24.8,KAOMA AIRPORT
389,Aden,YE,88.75,few clouds,12.78,45.04,Sama Emirate Hotel
390,Touros,BR,86.0,scattered clouds,-5.2,-35.46,INN NEW HORIZON
391,Komsomolskiy,UZ,75.2,clear sky,40.43,71.72,Ikathouse
392,Yichang,CN,78.91,light rain,30.71,111.28,Gezhouba Hotel
394,Majene,ID,78.91,overcast clouds,-3.54,118.97,Kost Putri RABBANI
395,Danville,US,87.01,clear sky,36.59,-79.39,Holiday Inn Express Danville
396,Easton,US,81.0,broken clouds,40.69,-75.22,Grand Eastonian Hotel & Suites
399,Zhezkazgan,KZ,80.6,clear sky,47.8,67.71,Kvartiry Posutochno.
403,Sinnamary,GF,87.44,broken clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
406,Bathsheba,BB,87.8,scattered clouds,13.22,-59.52,Atlantis Hotel
409,Siteki,SZ,82.4,broken clouds,-26.45,31.95,Mabuda Farm B&B
411,Larreynaga,NI,84.2,scattered clouds,12.68,-86.57,Finca El Carrizal
412,Carutapera,BR,85.26,broken clouds,-1.2,-46.02,Lidera
415,Misratah,LY,83.23,clear sky,32.38,15.09,فندق الماسة
418,Opuwo,,77.36,scattered clouds,-18.06,13.84,ABBA Guesthouse
419,Paicol,CO,85.69,few clouds,2.45,-75.78,Posada camino guanacas
421,Chanute,US,86.0,clear sky,37.68,-95.46,Guest House Motel Chanute
423,Tuy Hoa,VN,80.2,overcast clouds,13.08,109.3,CenDeluxe Hotel Tuy Hoa
428,Kattivakkam,IN,84.2,few clouds,13.22,80.32,St. Joseph Thirumana mandapam
432,Westport,US,81.0,broken clouds,41.14,-73.36,The Westport Inn
435,Kapit,MY,75.99,moderate rain,2.02,112.93,Hotel Meligai Kapit
438,Khajuraho,IN,79.36,broken clouds,24.85,79.93,The LaLiT Temple View Khajuraho
439,Tomatlan,MX,80.92,overcast clouds,19.93,-105.25,Norma franco
441,Aguadilla,PR,88.0,scattered clouds,18.43,-67.15,WSSM Surf House
442,Chernomorskiy,RU,80.01,scattered clouds,44.85,38.49,Guest House Motel'ОК
446,Changji,CN,75.99,broken clouds,44.02,87.32,Lvye Holiday Resort
449,Manokwari,ID,79.18,overcast clouds,-0.87,134.08,Swiss Belhotel Manokwari
452,Meulaboh,ID,78.06,overcast clouds,4.14,96.13,Kost Pria
456,Sakaiminato,JP,78.8,few clouds,35.55,133.23,味処・民宿 まつや
457,Batticaloa,LK,83.62,few clouds,7.71,81.69,Grand Star Guest House
458,Padang,ID,78.55,broken clouds,-0.95,100.35,Mercure Padang
463,Kalmunai,LK,82.96,light rain,7.42,81.82,VS Villa
467,Gizo,SB,79.65,light rain,-8.1,156.84,Imagination Island
470,Minbu,MM,79.54,scattered clouds,20.18,94.88,Kaung Thar Guest House - Burmese Only
471,Porto Calvo,BR,82.4,broken clouds,-9.04,-35.4,Motel Deth
473,Santa Flavia,IT,86.0,clear sky,38.09,13.54,La Caletta
476,Cabo San Lucas,MX,78.01,moderate rain,22.89,-109.91,Hotel Tesoro Los Cabos
481,Hong Gai,VN,86.0,few clouds,20.96,107.09,Hạ Long DC Hotel
483,Dingle,PH,76.48,overcast clouds,11.0,122.67,Camp Pasica
485,Port-Gentil,GA,80.6,scattered clouds,-0.72,8.78,Fengshui Residence
496,Sterling,US,88.0,broken clouds,39.01,-77.43,Hampton Inn & Suites Washington-Dulles International Airport
497,Kinshasa,CD,84.2,few clouds,-4.32,15.32,Kabinda Center
498,Wentzville,US,81.0,broken clouds,38.81,-90.85,Fairfield Inn & Suites by Marriott St. Louis West/Wentzville
499,Puerto Escondido,MX,77.0,broken clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
501,Tigzirt,DZ,87.6,clear sky,36.89,4.12,Appartement de la plage
502,Pecos,US,82.4,clear sky,31.42,-103.49,Knights Inn Pecos
503,Ciudad Bolivar,VE,87.19,broken clouds,8.12,-63.55,Hotel Edi
504,Kavaratti,IN,82.49,overcast clouds,10.57,72.64,Bismillah Hotel And Lodging
505,Catuday,PH,81.57,overcast clouds,16.29,119.81,GResort
506,Qui Nhon,VN,80.62,overcast clouds,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
509,Bargarh,IN,75.81,overcast clouds,21.33,83.62,HOTEL VD PALACE
511,Sioux City,US,75.0,thunderstorm,42.5,-96.4,Hilton Garden Inn Sioux City Riverfront
513,Asfi,MA,75.74,clear sky,32.3,-9.24,Hôtel Abda
514,Cansancao,BR,88.29,broken clouds,-10.67,-39.5,MIGUEL
